TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id									
# segment_iiif_link									
Neuigkeiten	O	O							
.	O	O							
(	O	O							
Mißhandlung	O	O							
der	O	O							
# segment_iiif_link									
Franken	O	O							
in	O	O							
Rom	B-LOC	O					Q3088458	_	
.	O	O							
]	O	O							
Buonaparte	B-PERS	O					NIL	_	
'	I-PERS	O					NIL	_	
s	I-PERS	O					NIL	_	
Bruder	I-PERS	O					NIL	_	
hat	O	O							
# segment_iiif_link									
die	O	O							
neulich	O	O							
schon	O	O							
erzählten	O	O							
Vorfälle	O	O							
in	O	O							
Rom	B-LOC	O					Q3088458	_	
ans	O	O							
# segment_iiif_link									
Directorium	O	O							
berichtet	O	O							
,	O	O							
und	O	O							
die	O	O							
verdächtige	O	O							
Weise	O	O							
,	O	O							
# segment_iiif_link									
mit	O	O							
der	O	O							
die	O	O							
römische	O	O							
Regierung	O	O							
sich	O	O							
dabey	O	O							
betrug	O	O							
in	O	O							
# segment_iiif_link									
ein	O	O							
sehr	O	O							
klares	O	O							
Licht	O	O							
gesezt	O	O							
.	O	O							
Er	O	O							
hatte	O	O							
schon	O	O							
den	O	O							
25	O	O							
.	O	O							
# segment_iiif_link									
Dec	O	O							
.	O	O							
einige	O	O							
der	O	O							
Aufrührer	O	O							
,	O	O							
die	O	O							
im	O	O							
Vertrauen	B-ORG	O					NIL	_	
Frank	I-ORG	O					NIL	_	
# segment_iiif_link									
reichs	I-ORG	O					NIL	_	
Schutz	I-ORG	O					NIL	_	
und	O	O							
Beystand	O	O							
erflehten	O	O							
sehr	O	O							
dringend	O	O							
# segment_iiif_link									
„	O	O							
und	O	O							
derb	O	O							
abgewiesen	O	O							
,	O	O							
und	O	O							
vom	O	O							
ganzen	O	O							
Vorhaben	O	O							
# segment_iiif_link									
dem	O	O							
Kardinal	B-PERS	O					NIL	_	
Staatssekretär	I-PERS	O					NIL	_	
Nachricht	I-PERS	O					NIL	_	
gegeben	O	O							
,	O	O							
# segment_iiif_link									
damit	O	O							
er	O	O							
Sicherheitsanstalten	O	O							
träfe	O	O							
.	O	O							
Derselbe	O	O							
ver	O	O							
¬	O	O							
# segment_iiif_link									
sprach	O	O							
,	O	O							
Abends	O	O							
um	O	O							
6	O	O							
Uhr	O	O							
den	O	O							
franz	O	O							
.	O	O							
Gesandten	O	O							
in	O	O							
# segment_iiif_link									
seiner	O	O							
Wohnung	O	O							
zu	O	O							
besuchen	O	O							
,	O	O							
und	O	O							
mit	O	O							
ihm	O	O							
noch	O	O							
# segment_iiif_link									
nähere	O	O							
Maßregeln	O	O							
zu	O	O							
verabreden	O	O							
.	O	O							
Aller	O	O							
dieser	O	O							
Vor	O	O							
¬	O	O							
# segment_iiif_link									
sicht	O	O							
ungeachtet	O	O							
ward	O	O							
der	O	O							
Ausbruch	O	O							
des	O	O							
