TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id									
# segment_iiif_link									
FROM	O	O							
A	O	O							
VIRGINIA	O	O							
PAPER	O	O							
.	O	O							
# segment_iiif_link									
To	O	O							
his	O	O							
EXCELLENCY	O	O							
the	O	O							
GOVERNOR	O	O							
# segment_iiif_link									
GINIA	O	O							
.	O	O							
# segment_iiif_link									
NEW	B-LOC	O					NIL	_	
-	I-LOC	O					NIL	_	
YORK	I-LOC	O					NIL	_	
,	I-TIME	O					NIL	_	
SEPT	I-TIME	O					NIL	_	
.	I-TIME	O					NIL	_	
28	I-TIME	O					NIL	_	
,	I-TIME	O					NIL	_	
1780	I-TIME	O					NIL	_	
.	O	O							
# segment_iiif_link									
SIR	O	O							
,	O	O							
# segment_iiif_link									
W	B-PERS	O					NIL	_	
E	I-PERS	O					NIL	_	
have	O	O							
long	O	O							
waited	O	O							
in	O	O							
anxious	O	O							
expectations	O	O							
,	O	O							
# segment_iiif_link									
of	O	O							
having	O	O							
it	O	O							
in	O	O							
our	O	O							
power	O	O							
to	O	O							
tranlinit	O	O							
effec	O	O							
¬	O	O							
# segment_iiif_link									
tual	O	O							
Amendments	O	O							
to	O	O							
the	O	O							
Conftitution	O	O							
of	O	O							
the	B-LOC	O					NIL	_	
Uni	I-LOC	O					NIL	_	
¬	I-LOC	O					NIL	_	
# segment_iiif_link									
ted	I-LOC	O					NIL	_	
Stares	I-LOC	O					NIL	_	
,	O	O							
and	O	O							
it	O	O							
is	O	O							
with	O	O							
grief	O	O							
that	O	O							
we	O	O							
now	O	O							
fend	O	O							
# segment_iiif_link									
forward	O	O							
propolitions	O	O							
inadequate	O	O							
to	O	O							
the	O	O							
purpofe	O	O							
# segment_iiif_link									
of	O	O							
real	O	O							
and	O	O							
fubftantial	O	O							
Amendments	O	O							
,	O	O							
and	O	O							
fo	O	O							
far	O	O							
# segment_iiif_link									
fhort	O	O							
of	O	O							
the	O	O							
wiihes	O	O							
of	O	O							
our	O	O							
country	O	O							
.	O	O							
By	O	O							
perufing	O	O							
# segment_iiif_link									
the	O	O							
Journal	O	O							
of	O	O							
the	O	O							
Senate	O	O							
,	O	O							
your	O	O							
Excellency	O	O							
will	O	O							
# segment_iiif_link									
fee	O	O							
,	O	O							
that	O	O							
we	O	O							
did	O	O							
,	O	O							
in	O	O							
vain	O	O							
,	O	O							
bring	O	O							
to	O	O							
view	O	O							
the	O	O							
Amend	O	O							
¬	O	O							
# segment_iiif_link									
ments	O	O							
propofed	O	O							
by	O	O							
our	O	O							
Convention	O	O							
,	O	O							
and	O	O							
approv	O	O							
¬	O	O							
# segment_iiif_link									
ed	O	O							
by	O	O							
the	O	O							
Legiflature	O	O							
.	O	O							
We	O	O							
fltall	O	O							
tranfmit	O	O							
a	O	O							
com	O	O							
¬	O	O							
# segment_iiif_link									
