TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = fr
# newspaper = EXP
# date = 1798-01-04
# document_id = EXP-1798-01-04-a-i0005
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/757,1134,199,50/full/0/default.jpg
G	O	O	O	O	_	_	_	_	_
R	O	O	O	O	_	_	_	_	_
E	O	O	O	O	_	_	_	_	_
E	O	O	O	O	_	_	_	_	_
F	O	O	O	O	_	_	_	_	_
E	O	O	O	O	_	_	_	_	NoSpaceAfter
.	O	O	O	O	_	_	_	_	EndOfLine
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/596,1159,527,44/full/0/default.jpg
1	O	O	O	O	_	_	_	_	NoSpaceAfter
.	O	O	O	O	_	_	_	_	_
Le	O	O	O	O	_	_	_	_	_
public	O	O	O	O	_	_	_	_	_
est	O	O	O	O	_	_	_	_	_
averti	O	O	O	O	_	_	_	_	_
que	O	O	O	O	_	_	_	_	_
Charlotte	B-pers	O	B-pers.ind	O	_	_	NIL	_	_
née	I-pers	O	I-pers.ind	O	_	_	NIL	_	_
Bourgoin	I-pers	O	I-pers.ind	O	_	_	NIL	_	NoSpaceAfter
,	O	O	O	O	_	_	_	_	EndOfLine
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1180,504,45/full/0/default.jpg
femme	O	O	O	O	_	_	_	_	NoSpaceAfter
-	O	O	O	O	_	_	_	_	NoSpaceAfter
de	O	O	O	O	_	_	_	_	_
Joseph	B-pers	O	B-pers.ind	O	_	_	NIL	_	_
Digiez	I-pers	O	I-pers.ind	O	_	_	NIL	_	NoSpaceAfter
,	O	O	O	O	_	_	_	_	_
et	O	O	O	O	_	_	_	_	_
Maurice	B-pers	O	B-pers.ind	O	_	_	NIL	_	_
Bourgoin	I-pers	O	I-pers.ind	O	_	_	NIL	_	NoSpaceAfter
,	O	O	O	O	_	_	_	_	_
enfant	O	O	O	O	_	_	_	_	_
mineur	O	O	O	O	_	_	_	_	EndOfLine
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1202,507,44/full/0/default.jpg
représenté	O	O	O	O	_	_	_	_	_
par	O	O	O	O	_	_	_	_	_
le	O	O	O	O	_	_	_	_	_
sieur	B-pers	O	B-pers.ind	O	_	_	NIL	_	_
Jaques	I-pers	O	I-pers.ind	O	_	_	NIL	_	_
Charles	I-pers	O	I-pers.ind	O	_	_	NIL	_	_
Gicot	I-pers	O	I-pers.ind	O	_	_	NIL	_	_
son	O	O	O	O	_	_	_	_	_
curateur	O	O	O	O	_	_	_	_	NoSpaceAfter
,	O	O	O	O	_	_	_	_	EndOfLine
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1224,505,44/full/0/default.jpg
ont	O	O	O	O	_	_	_	_	_
été	O	O	O	O	_	_	_	_	_
admis	O	O	O	O	_	_	_	_	_
par	O	O	O	O	_	_	_	_	_
arrêt	O	O	O	O	_	_	_	_	_
du	O	O	O	O	_	_	_	_	_
Conseil	B-org	O	B-org.adm	O	_	_	Q769657	_	_
d	I-org	O	I-org.adm	O	_	_	Q769657	_	NoSpaceAfter
'	I-org	O	I-org.adm	O	_	_	Q769657	_	NoSpaceAfter
Etat	I-org	O	I-org.adm	O	_	_	Q769657	_	_
du	O	O	O	O	_	_	_	_	_
5	B-time	O	B-time.date.abs	O	_	_	_	_	_
décembre	I-time	O	I-time.date.abs	O	_	_	_	_	EndOfLine
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1249,502,44/full/0/default.jpg
1797	I-time	O	I-time.date.abs	O	_	_	_	_	NoSpaceAfter
,	O	O	O	O	_	_	_	_	_
à	O	O	O	O	_	_	_	_	_
solliciter	O	O	O	O	_	_	_	_	_
une	O	O	O	O	_	_	_	_	_
renonciation	O	O	O	O	_	_	_	_	_
générale	O	O	O	O	_	_	_	_	_
et	O	O	O	O	_	_	_	_	_
absolue	O	O	O	O	_	_	_	_	EndOfLine
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1268,505,44/full/0/default.jpg
aux	O	O	O	O	_	_	_	_	_
biens	O	O	O	O	_	_	_	_	_
et	O	O	O	O	_	_	_	_	_
aux	O	O	O	O	_	_	_	_	_
dettes	O	O	O	O	_	_	_	_	_
présentes	O	O	O	O	_	_	_	_	_
et	O	O	O	O	_	_	_	_	_
futures	O	O	O	O	_	_	_	_	_
de	O	O	O	O	_	_	_	_	EndOfLine
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1289,505,45/full/0/default.jpg
Jean	B-pers	O	B-pers.ind	O	_	_	NIL	_	NoSpaceAfter
-	I-pers	O	I-pers.ind	O	_	_	NIL	_	NoSpaceAfter
Baptiste	I-pers	O	I-pers.ind	O	_	_	NIL	_	_
Bourgoin	I-pers	O	I-pers.ind	O	_	_	NIL	_	_
leur	O	O	O	O	_	_	_	_	_
