TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
# document_id											
# segment_iiif_link											
Neuigkeiten	O	O									1798-01-20 00:00:00
.	O	O									1798-01-20 00:00:00
(	O	O									1798-01-20 00:00:00
Mißhandlung	O	O									1798-01-20 00:00:00
der	O	O									1798-01-20 00:00:00
# segment_iiif_link											
Franken	O	O									1798-01-20 00:00:00
in	O	O									1798-01-20 00:00:00
Rom	B-LOC	O									1798-01-20 00:00:00
.	O	O									1798-01-20 00:00:00
]	O	O									1798-01-20 00:00:00
Buonaparte	B-PERS	O									1798-01-20 00:00:00
'	I-PERS	O									1798-01-20 00:00:00
s	I-PERS	O									1798-01-20 00:00:00
Bruder	I-PERS	O									1798-01-20 00:00:00
hat	O	O									1798-01-20 00:00:00
# segment_iiif_link											
die	O	O									1798-01-20 00:00:00
neulich	O	O									1798-01-20 00:00:00
schon	O	O									1798-01-20 00:00:00
erzählten	O	O									1798-01-20 00:00:00
Vorfälle	O	O									1798-01-20 00:00:00
in	O	O									1798-01-20 00:00:00
Rom	B-LOC	O									1798-01-20 00:00:00
ans	O	O									1798-01-20 00:00:00
# segment_iiif_link											
Directorium	O	O									1798-01-20 00:00:00
berichtet	O	O									1798-01-20 00:00:00
,	O	O									1798-01-20 00:00:00
und	O	O									1798-01-20 00:00:00
die	O	O									1798-01-20 00:00:00
verdächtige	O	O									1798-01-20 00:00:00
Weise	O	O									1798-01-20 00:00:00
,	O	O									1798-01-20 00:00:00
# segment_iiif_link											
mit	O	O									1798-01-20 00:00:00
der	O	O									1798-01-20 00:00:00
die	O	O									1798-01-20 00:00:00
römische	O	O									1798-01-20 00:00:00
Regierung	O	O									1798-01-20 00:00:00
sich	O	O									1798-01-20 00:00:00
dabey	O	O									1798-01-20 00:00:00
betrug	O	O									1798-01-20 00:00:00
in	O	O									1798-01-20 00:00:00
# segment_iiif_link											
ein	O	O									1798-01-20 00:00:00
sehr	O	O									1798-01-20 00:00:00
klares	O	O									1798-01-20 00:00:00
Licht	O	O									1798-01-20 00:00:00
gesezt	O	O									1798-01-20 00:00:00
.	O	O									1798-01-20 00:00:00
Er	O	O									1798-01-20 00:00:00
hatte	O	O									1798-01-20 00:00:00
schon	O	O									1798-01-20 00:00:00
den	O	O									1798-01-20 00:00:00
25	O	O									1798-01-20 00:00:00
.	O	O									1798-01-20 00:00:00
# segment_iiif_link											
Dec	O	O									1798-01-20 00:00:00
.	O	O									1798-01-20 00:00:00
einige	O	O									1798-01-20 00:00:00
der	O	O									1798-01-20 00:00:00
Aufrührer	O	O									1798-01-20 00:00:00
,	O	O									1798-01-20 00:00:00
die	O	O									1798-01-20 00:00:00
im	O	O									1798-01-20 00:00:00
Vertrauen	B-ORG	O									1798-01-20 00:00:00
Frank	I-ORG	O									1798-01-20 00:00:00
# segment_iiif_link											
