TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
# document_id											
# segment_iiif_link											
FROM	O	O									1790-01-02 00:00:00
A	O	O									1790-01-02 00:00:00
VIRGINIA	O	O									1790-01-02 00:00:00
PAPER	O	O									1790-01-02 00:00:00
.	O	O									1790-01-02 00:00:00
# segment_iiif_link											
To	O	O									1790-01-02 00:00:00
his	O	O									1790-01-02 00:00:00
EXCELLENCY	O	O									1790-01-02 00:00:00
the	O	O									1790-01-02 00:00:00
GOVERNOR	O	O									1790-01-02 00:00:00
# segment_iiif_link											
GINIA	O	O									1790-01-02 00:00:00
.	O	O									1790-01-02 00:00:00
# segment_iiif_link											
NEW	B-LOC	O									1790-01-02 00:00:00
-	I-LOC	O									1790-01-02 00:00:00
YORK	I-LOC	O									1790-01-02 00:00:00
,	I-TIME	O									1790-01-02 00:00:00
SEPT	I-TIME	O									1790-01-02 00:00:00
.	I-TIME	O									1790-01-02 00:00:00
28	I-TIME	O									1790-01-02 00:00:00
,	I-TIME	O									1790-01-02 00:00:00
1780	I-TIME	O									1790-01-02 00:00:00
.	O	O									1790-01-02 00:00:00
# segment_iiif_link											
SIR	O	O									1790-01-02 00:00:00
,	O	O									1790-01-02 00:00:00
# segment_iiif_link											
W	B-PERS	O									1790-01-02 00:00:00
E	I-PERS	O									1790-01-02 00:00:00
have	O	O									1790-01-02 00:00:00
long	O	O									1790-01-02 00:00:00
waited	O	O									1790-01-02 00:00:00
in	O	O									1790-01-02 00:00:00
anxious	O	O									1790-01-02 00:00:00
expectations	O	O									1790-01-02 00:00:00
,	O	O									1790-01-02 00:00:00
# segment_iiif_link											
of	O	O									1790-01-02 00:00:00
having	O	O									1790-01-02 00:00:00
it	O	O									1790-01-02 00:00:00
in	O	O									1790-01-02 00:00:00
our	O	O									1790-01-02 00:00:00
power	O	O									1790-01-02 00:00:00
to	O	O									1790-01-02 00:00:00
tranlinit	O	O									1790-01-02 00:00:00
effec	O	O									1790-01-02 00:00:00
¬	O	O									1790-01-02 00:00:00
# segment_iiif_link											
tual	O	O									1790-01-02 00:00:00
Amendments	O	O									1790-01-02 00:00:00
to	O	O									1790-01-02 00:00:00
the	O	O									1790-01-02 00:00:00
Conftitution	O	O									1790-01-02 00:00:00
of	O	O									1790-01-02 00:00:00
the	B-LOC	O									1790-01-02 00:00:00
Uni	I-LOC	O									1790-01-02 00:00:00
¬	I-LOC	O									1790-01-02 00:00:00
# segment_iiif_link											
ted	I-LOC	O									1790-01-02 00:00:00
Stares	I-LOC	O									1790-01-02 00:00:00
,	O	O									1790-01-02 00:00:00
and	O	O									1790-01-02 00:00:00
it	O	O									1790-01-02 00:00:00
is	O	O									1790-01-02 00:00:00
with	O	O									1790-01-02 00:00:00
grief	O	O									1790-01-02 00:00:00
that	O	O									1790-01-02 00:00:00
