TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
# document_id											
# segment_iiif_link											
G	B-PERS	O									1798-01-04 00:00:00
R	I-PERS	O									1798-01-04 00:00:00
E	I-PERS	O									1798-01-04 00:00:00
E	I-PERS	O									1798-01-04 00:00:00
F	I-PERS	O									1798-01-04 00:00:00
E	I-PERS	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
# segment_iiif_link											
1	O	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
Le	O	O									1798-01-04 00:00:00
public	O	O									1798-01-04 00:00:00
est	O	O									1798-01-04 00:00:00
averti	O	O									1798-01-04 00:00:00
que	O	O									1798-01-04 00:00:00
Charlotte	B-PERS	O									1798-01-04 00:00:00
née	I-PERS	O									1798-01-04 00:00:00
Bourgoin	I-PERS	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
# segment_iiif_link											
femme	O	O									1798-01-04 00:00:00
-	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
Joseph	B-PERS	O									1798-01-04 00:00:00
Digiez	I-PERS	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
Maurice	B-PERS	O									1798-01-04 00:00:00
Bourgoin	I-PERS	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
enfant	O	O									1798-01-04 00:00:00
mineur	O	O									1798-01-04 00:00:00
# segment_iiif_link											
représenté	O	O									1798-01-04 00:00:00
par	O	O									1798-01-04 00:00:00
le	O	O									1798-01-04 00:00:00
sieur	B-PERS	O									1798-01-04 00:00:00
Jaques	I-PERS	O									1798-01-04 00:00:00
Charles	I-PERS	O									1798-01-04 00:00:00
Gicot	I-PERS	O									1798-01-04 00:00:00
son	O	O									1798-01-04 00:00:00
curateur	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
# segment_iiif_link											
ont	O	O									1798-01-04 00:00:00
été	O	O									1798-01-04 00:00:00
admis	O	O									1798-01-04 00:00:00
par	O	O									1798-01-04 00:00:00
arrêt	O	O									1798-01-04 00:00:00
du	O	O									1798-01-04 00:00:00
Conseil	O	O									1798-01-04 00:00:00
d	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
Etat	O	O									1798-01-04 00:00:00
du	B-TIME	O									1798-01-04 00:00:00
5	I-TIME	O									1798-01-04 00:00:00
décembre	I-TIME	O									1798-01-04 00:00:00
# segment_iiif_link											
1797	I-TIME	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
à	O	O									1798-01-04 00:00:00
solliciter	O	O									1798-01-04 00:00:00
une	O	O									1798-01-04 00:00:00
renonciation	O	O									1798-01-04 00:00:00
générale	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
