TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = de									
# newspaper = NZZ									
# date = 1798-01-20									
# document_id = NZZ-1798-01-20-a-p0002									
# segment_iiif_link = _									
Neuigkeiten	O	O	O	O	O	O			
.	O	O	O	O	O	O			
(	O	O	O	O	O	O			
Mißhandlung	O	O	O	O	O	O			
der	O	O	O	O	O	O			
# segment_iiif_link = _									
Franken	O	O	O	O	O	O			
in	O	O	O	O	O	O			
Rom	B-loc	O	B-loc.adm.town	O	O	O			
.	O	O	O	O	O	O			
]	O	O	O	O	O	O			
Buonaparte	B-pers	O	B-pers.ind	O	O	O			
'	I-pers	O	I-pers.ind	O	O	O			
s	I-pers	O	I-pers.ind	O	O	O			
Bruder	O	O	O	O	O	O			
hat	O	O	O	O	O	O			
# segment_iiif_link = _									
die	O	O	O	O	O	O			
neulich	O	O	O	O	O	O			
schon	O	O	O	O	O	O			
erzählten	O	O	O	O	O	O			
Vorfälle	O	O	O	O	O	O			
in	O	O	O	O	O	O			
Rom	B-loc	O	B-loc.adm.town	O	O	O			
ans	O	O	O	O	O	O			
# segment_iiif_link = _									
Directorium	O	O	O	O	O	O			
berichtet	O	O	O	O	O	O			
,	O	O	O	O	O	O			
und	O	O	O	O	O	O			
die	O	O	O	O	O	O			
verdächtige	O	O	O	O	O	O			
Weise	O	O	O	O	O	O			
,	O	O	O	O	O	O			
# segment_iiif_link = _									
mit	O	O	O	O	O	O			
der	O	O	O	O	O	O			
die	O	O	O	O	O	O			
römische	O	O	O	O	O	O			
Regierung	O	O	O	O	O	O			
sich	O	O	O	O	O	O			
dabey	O	O	O	O	O	O			
betrug	O	O	O	O	O	O			
in	O	O	O	O	O	O			
# segment_iiif_link = _									
ein	O	O	O	O	O	O			
sehr	O	O	O	O	O	O			
klares	O	O	O	O	O	O			
Licht	O	O	O	O	O	O			
gesezt	O	O	O	O	O	O			
.	O	O	O	O	O	O			
Er	O	O	O	O	O	O			
hatte	O	O	O	O	O	O			
schon	O	O	O	O	O	O			
den	O	O	O	O	O	O			
25	O	O	O	O	O	O			
.	O	O	O	O	O	O			
# segment_iiif_link = _									
Dec	O	O	O	O	O	O			
.	O	O	O	O	O	O			
einige	O	O	O	O	O	O			
der	O	O	O	O	O	O			
Aufrührer	O	O	O	O	O	O			
,	O	O	O	O	O	O			
die	O	O	O	O	O	O			
im	O	O	O	O	O	O			
Vertrauen	O	O	O	O	O	O			
Frank	B-loc	B-org	B-loc.adm.nat	O	O	O			
# segment_iiif_link = _									
reichs	I-loc	B-org	I-loc.adm.nat	B-org.adm	O	O			
Schutz	O	O	O	O	O	O			
und	O	O	O	O	O	O			
Beystand	O	O	O	O	O	O			
erflehten	O	O	O	O	O	O			
sehr	O	O	O	O	O	O			
dringend	O	O	O	O	O	O			
# segment_iiif_link = _									
„	O	O	O	O	O	O			
und	O	O	O	O	O	O			
derb	O	O	O	O	O	O			
abgewiesen	O	O	O	O	O	O			
,	O	O	O	O	O	O			
und	O	O	O	O	O	O			
vom	O	O	O	O	O	O			
ganzen	O	O	O	O	O	O			
Vorhaben	O	O	O	O	O	O			
# segment_iiif_link = _									
dem	O	O	O	O	O	O			
Kardinal	O	O	O	O	O	O			
Staatssekretär	O	O	O	O	O	O			
Nachricht	O	O	O	O	O	O			
gegeben	O	O	O	O	O	O			
,	O	O	O	O	O	O			
# segment_iiif_link = _									
damit	O	O	O	O	O	O			
er	O	O	O	O	O	O			
Sicherheitsanstalten	O	O	O	O	O	O			
träfe	O	O	O	O	O	O			
.	O	O	O	O	O	O			
Derselbe	O	O	O	O	O	O			
ver	O	O	O	O	O	O			
¬	O	O	O	O	O	O			
# segment_iiif_link = _									
sprach	O	O	O	O	O	O			
,	O	O	O	O	O	O			
Abends	O	O	O	O	O	O			
um	O	O	O	O	O	O			
6	O	O	O	O	O	O			
Uhr	O	O	O	O	O	O			
den	O	O	O	O	O	O			
franz	O	O	O	O	O	O			
.	O	O	O	O	O	O			
Gesandten	O	O	O	O	O	O			
in	O	O	O	O	O	O			
# segment_iiif_link = _									
seiner	O	O	O	O	O	O			
Wohnung	O	O	O	O	O	O			
zu	O	O	O	O	O	O			
besuchen	O	O	O	O	O	O			
,	O	O	O	O	O	O			
und	O	O	O	O	O	O			
mit	O	O	O	O	O	O			
ihm	O	O	O	O	O	O			
noch	O	O	O	O	O	O			
# segment_iiif_link = _									
nähere	O	O	O	O	O	O			
Maßregeln	O	O	O	O	O	O			
zu	O	O	O	O	O	O			
verabreden	O	O	O	O	O	O			
.	O	O	O	O	O	O			
Aller	O	O	O	O	O	O			
dieser	O	O	O	O	O	O			
Vor	O	O	O	O	O	O			
¬	O	O	O	O	O	O			
# segment_iiif_link = _									
sicht	O	O	O	O	O	O			
