TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = fr									
# newspaper = EXP									
# date = 1798-01-04									
# document_id = EXP-1798-01-04-a-i0005									
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/757,1134,199,50/full/0/default.jpg									
G	B-loc	O	B-loc.adm.nat	O	O	O			
R	O	O	O	O	O	O			
E	O	O	O	O	O	O			
E	O	O	O	O	O	O			
F	O	O	O	O	O	O			
E	O	O	O	O	O	O			
.	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/596,1159,527,44/full/0/default.jpg									
1	O	O	O	O	O	O			
.	O	O	O	O	O	O			
Le	O	O	O	O	O	O			
public	O	O	O	O	O	O			
est	O	O	O	O	O	O			
averti	O	O	O	O	O	O			
que	O	O	O	O	O	O			
Charlotte	B-pers	O	B-pers.ind	O	O	O			
née	I-pers	O	I-pers.ind	O	O	O			
Bourgoin	I-pers	O	I-pers.ind	O	O	O			
,	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1180,504,45/full/0/default.jpg									
femme	O	O	O	O	O	O			
-	O	O	O	O	O	O			
de	O	O	O	O	O	O			
Joseph	B-pers	O	B-pers.ind	O	O	O			
Digiez	I-pers	O	I-pers.ind	O	O	O			
,	O	O	O	O	O	O			
et	O	O	O	O	O	O			
Maurice	B-pers	O	B-pers.ind	O	O	O			
Bourgoin	I-pers	O	I-pers.ind	O	O	O			
,	O	O	O	O	O	O			
enfant	O	O	O	O	O	O			
mineur	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1202,507,44/full/0/default.jpg									
représenté	O	O	O	O	O	O			
par	O	O	O	O	O	O			
le	O	O	O	O	O	O			
sieur	B-pers	O	B-pers.ind	O	B-comp.title	O			
Jaques	I-pers	O	I-pers.ind	O	B-comp.name	O			
Charles	I-pers	O	I-pers.ind	O	I-comp.name	O			
Gicot	I-pers	O	I-pers.ind	O	I-comp.name	O			
son	I-pers	O	I-pers.ind	O	O	O			
curateur	I-pers	O	I-pers.ind	O	B-comp.function	O			
,	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1224,505,44/full/0/default.jpg									
ont	O	O	O	O	O	O			
été	O	O	O	O	O	O			
admis	O	O	O	O	O	O			
par	O	O	O	O	O	O			
arrêt	O	O	O	O	O	O			
du	O	O	O	O	O	O			
Conseil	O	O	O	O	O	O			
d	O	O	O	O	O	O			
'	O	O	O	O	O	O			
Etat	O	O	O	O	O	O			
du	B-time	O	B-time.date.abs	O	O	O			
5	I-time	O	I-time.date.abs	O	O	O			
décembre	I-time	O	I-time.date.abs	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1249,502,44/full/0/default.jpg									
1797	I-time	O	I-time.date.abs	O	O	O			
,	O	O	O	O	O	O			
à	O	O	O	O	O	O			
solliciter	O	O	O	O	O	O			
une	O	O	O	O	O	O			
renonciation	O	O	O	O	O	O			
générale	O	O	O	O	O	O			
et	O	O	O	O	O	O			
absolue	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1268,505,44/full/0/default.jpg									
aux	O	O	O	O	O	O			
biens	O	O	O	O	O	O			
et	O	O	O	O	O	O			
aux	O	O	O	O	O	O			
dettes	O	O	O	O	O	O			
présentes	O	O	O	O	O	O			
et	O	O	O	O	O	O			
futures	O	O	O	O	O	O			
de	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1289,505,45/full/0/default.jpg									
Jean	B-pers	O	B-pers.ind	O	O	O			
-	I-pers	O	I-pers.ind	O	O	O			
Baptiste	I-pers	O	I-pers.ind	O	O	O			
Bourgoin	I-pers	O	I-pers.ind	O	O	O			
leur	O	O	O	O	O	O			
pe	O	O	O	O	O	O			
'	O	O	O	O	O	O			
re	O	O	O	O	O	O			
,	O	O	O	O	O	O			
et	O	O	O	O	O	O			
qu	O	O	O	O	O	O			
'	O	O	O	O	O	O			
en	O	O	O	O	O	O			
conséquence	O	O	O	O	O	O			
,	O	O	O	O	O	O			
les	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1311,505,44/full/0/default.jpg									
susdits	O	O	O	O	O	O			
enfans	O	O	O	O	O	O			
,	O	O	O	O	O	O			
duement	O	O	O	O	O	O			
assistés	O	O	O	O	O	O			
et	O	O	O	O	O	O			
autorisés	O	O	O	O	O	O			
,	O	O	O	O	O	O			
se	O	O	O	O	O	O			
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1333,511,45/full/0/default.jpg									
présenteront	O	O	O	O	O	O			
par	O	O	O	O	O	O			
-	O	O	O	O	O	O			
