TOKEN	NE-COARSE-LIT	NE-COARSE-METO
# language = fr
# newspaper = EXP
# date = 1798-01-04
# document_id = EXP-1798-01-04-a-i0005
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/757,1134,199,50/full/0/default.jpg
G	O	O
R	B-org	O
E	I-org	O
E	I-org	O
F	I-org	O
E	I-org	O
.	I-org	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/596,1159,527,44/full/0/default.jpg
1	O	O
.	O	O
Le	O	O
public	O	O
est	O	O
averti	O	O
que	O	O
Charlotte	B-pers	O
née	I-pers	O
Bourgoin	I-pers	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1180,504,45/full/0/default.jpg
femme	O	O
-	O	O
de	O	O
Joseph	B-pers	O
Digiez	I-pers	O
,	O	O
et	O	O
Maurice	B-pers	O
Bourgoin	I-pers	O
,	O	O
enfant	O	O
mineur	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1202,507,44/full/0/default.jpg
représenté	O	O
par	O	O
le	O	O
sieur	B-pers	O
Jaques	I-pers	O
Charles	I-pers	O
Gicot	I-pers	O
son	O	O
curateur	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1224,505,44/full/0/default.jpg
ont	O	O
été	O	O
admis	O	O
par	O	O
arrêt	O	O
du	O	O
Conseil	O	O
d	O	O
'	O	O
Etat	O	O
du	O	O
5	O	O
décembre	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1249,502,44/full/0/default.jpg
1797	O	O
,	O	O
à	O	O
solliciter	O	O
une	O	O
renonciation	O	O
générale	O	O
et	O	O
absolue	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1268,505,44/full/0/default.jpg
aux	O	O
biens	O	O
et	O	O
aux	O	O
dettes	O	O
présentes	O	O
et	O	O
futures	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1289,505,45/full/0/default.jpg
Jean	B-pers	O
-	I-pers	O
Baptiste	I-pers	O
Bourgoin	I-pers	O
leur	O	O
pe	O	O
'	O	O
re	O	O
,	O	O
et	O	O
qu	O	O
'	O	O
en	O	O
conséquence	O	O
,	O	O
les	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1311,505,44/full/0/default.jpg
susdits	O	O
enfans	O	O
,	O	O
duement	O	O
assistés	O	O
et	O	O
autorisés	O	O
,	O	O
se	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1333,511,45/full/0/default.jpg
présenteront	O	O
par	O	O
-	O	O
devant	O	O
ia	O	O
noble	O	O
justice	O	O
du	O	O
Landeron	O	O
_	O	O
,	O	O
le	O	O
mer	O	O
-	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1355,505,44/full/0/default.jpg
credi	O	O
17	O	O
janvier	O	O
courant	O	O
,	O	O
pour	O	O
y	O	O
porter	O	O
la	O	O
prédite	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1377,506,44/full/0/default.jpg
renonciation	O	O
;	O	O
assignant	O	O
péremptoirement	O	O
tous	O	O
ceux	O	O
qui	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/615,1398,504,45/full/0/default.jpg
estimeraient	O	O
être	O	O
'	O	O
fondés	O	O
à	O	O
s	O	O
'	O	O
y	O	O
opposer	O	O
,	O	O
à	O	O
_	O	O
comparcutre	O	O
ce	O	O
jour	O	O
-	O	O
là	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1421,504,44/full/0/default.jpg
en	O	O
dite	O	O
justice	O	O
,	O	O
pour	O	O
hure	O	O
va	O	O
_	O	O
^	O	O
pir	O	O
leurs	O	O
droits	O	O
et	O	O
alléguer	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/615,1442,486,45/full/0/default.jpg
leurs	O	O
moyens	O	O
d	O	O
'	O	O
_	O	O
opposW	O	O
_	O	O
|	O	O
_	O	O
priS	O	O
,	O	O
sou	O	O
3	O	O
peine	O	O
'	O	O
de	O	O
forclusion	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/594,1465,528,45/full/0/default.jpg
X	O	O
.	O	O
En	O	O
vertu	O	O
d	O	O
'	O	O
un	O	O
gracieux	O	O
arrêt	O	O
du	O	O
Gouvernement	O	O
en	O	O
date	O	O
di	O	O
»	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1485,503,45/full/0/default.jpg
