TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
FROM	O	_	_	_	_	_	_	_	_
A	O	_	_	_	_	_	_	_	_
VIRGINIA	O	_	_	_	_	_	Q1370|Q607350|Q37165002|Q684997|Q986681	_	_
PAPER	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
To	O	_	_	_	_	_	_	_	_
his	O	_	_	_	_	_	_	_	_
EXCELLENCY	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
GOVERNOR	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
GINIA	O	_	_	_	_	_	NIL|Q5563126|Q26362896|Q26374921	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
NEW	O	_	_	_	_	_	Q16877982|Q18615437|Q400375|Q14754876|Q15094489	_	NoSpaceAfter
-	O	_	_	_	_	_	_	_	NoSpaceAfter
YORK	O	_	_	_	_	_	Q42462|Q13591727|Q821105|Q227912|Q2076202	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
SEPT	I-time	_	_	_	_	_	_	_	NoSpaceAfter
.	I-time	_	_	_	_	_	_	_	_
28	I-time	_	_	_	_	_	_	_	NoSpaceAfter
,	I-time	_	_	_	_	_	_	_	_
1780	I-time	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
SIR	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
W	O	_	_	_	_	_	_	_	_
E	O	_	_	_	_	_	Q9907|Q82435|Q14392|Q12630381|Q27290	_	_
have	O	_	_	_	_	_	_	_	_
long	O	_	_	_	_	_	_	_	_
waited	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
anxious	O	_	_	_	_	_	_	_	_
expectations	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
of	O	_	_	_	_	_	_	_	_
having	O	_	_	_	_	_	_	_	_
it	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
our	O	_	_	_	_	_	_	_	_
power	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
tranlinit	O	_	_	_	_	_	_	_	_
effec	O	_	_	_	_	_	_	_	NoSpaceAfter
¬	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
tual	O	_	_	_	_	_	_	_	_
Amendments	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Conftitution	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Uni	O	_	_	_	_	_	NIL|Q438514|Q510092|Q4004692|Q31177724	_	NoSpaceAfter
¬	O	_	_	_	_	_	NIL|Q438514|Q510092|Q4004692|Q31177724	_	EndOfLine|NoSpaceAfter
ted	O	_	_	_	_	_	_	_	_
Stares	O	_	_	_	_	_	NIL|Q5374726|Q1382283|Q22381960|Q58685015	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
it	O	_	_	_	_	_	_	_	_
is	O	_	_	_	_	_	_	_	_
with	O	_	_	_	_	_	_	_	_
grief	O	_	_	_	_	_	_	_	_
that	O	_	_	_	_	_	_	_	_
we	O	_	_	_	_	_	_	_	_
now	O	_	_	_	_	_	_	_	_
fend	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
forward	O	_	_	_	_	_	_	_	_
propolitions	O	_	_	_	_	_	_	_	_
inadequate	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
purpofe	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
of	O	_	_	_	_	_	_	_	_
real	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
fubftantial	O	_	_	_	_	_	_	_	_
Amendments	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
fo	O	_	_	_	_	_	_	_	_
far	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
fhort	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
wiihes	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
our	O	_	_	_	_	_	_	_	_
country	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
By	O	_	_	_	_	_	_	_	_
perufing	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
the	O	_	_	_	_	_	_	_	_
Journal	O	_	_	_	_	_	NIL	_	_
of	O	_	_	_	_	_	NIL	_	_
the	B-org	_	_	_	_	_	NIL	_	_
Senate	B-org	_	_	_	_	_	NIL	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
your	O	_	_	_	_	_	_	_	_
Excellency	O	_	_	_	_	_	_	_	_
will	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
fee	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
that	O	_	_	_	_	_	_	_	_
we	O	_	_	_	_	_	_	_	_
did	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
vain	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
bring	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
view	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Amend	O	_	_	_	_	_	_	_	NoSpaceAfter
¬	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
ments	O	_	_	_	_	_	_	_	_
propofed	O	_	_	_	_	_	_	_	_
by	O	_	_	_	_	_	_	_	_
our	O	_	_	_	_	_	_	_	_
Convention	O	_	_	_	_	_	Q625994|Q367293|Q630642|Q19969914|Q5166232	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
approv	O	_	_	_	_	_	_	_	NoSpaceAfter
¬	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
ed	O	_	_	_	_	_	_	_	_
by	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Legiflature	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
We	O	_	_	_	_	_	_	_	_
fltall	O	_	_	_	_	_	_	_	_
tranfmit	O	_	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_	_
com	O	_	_	_	_	_	_	_	NoSpaceAfter
¬	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
#
plete	O	_	_	_	_	_	_	_	_
let	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Journals	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
both	O	_	_	_	_	_	_	_	_
Houfes	O	_	_	_	_	_	NIL|Q20758982|Q36872741|Q1187430|Q12017078	_	_
of	O	_	_	_	_	_	_	_	_
Con	O	_	_	_	_	_	NIL|Q48840766|Q394206|Q5157919|Q25908503	_	NoSpaceAfter
-	O	_	_	_	_	_	NIL|Q48840766|Q394206|Q5157919|Q25908503	_	EndOfLine|NoSpaceAfter
#
grefsto	O	_	_	_	_	_	_	_	_
your	O	_	_	_	_	_	_	_	_
addrefs	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
which	O	_	_	_	_	_	_	_	_
with	O	_	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_	_
letter	O	_	_	_	_	_	_	_	_
accom	O	_	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
panying	O	_	_	_	_	_	_	_	_
them	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
we	O	_	_	_	_	_	_	_	_
