TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
G	O	_	_	_	_	_	_	_	_
R	O	_	_	_	_	_	_	_	_
E	O	_	_	_	_	_	_	_	_
E	O	_	_	_	_	_	_	_	_
F	O	_	_	_	_	_	_	_	_
E	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
1	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Le	O	_	_	_	_	_	_	_	_
public	O	_	_	_	_	_	_	_	_
est	O	_	_	_	_	_	_	_	_
averti	O	_	_	_	_	_	_	_	_
que	O	_	_	_	_	_	_	_	_
Charlotte	B-pers	_	_	_	_	_	NIL	_	_
née	I-pers	_	_	_	_	_	NIL	_	_
Bourgoin	I-pers	_	_	_	_	_	NIL	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	EndOfLine
#
femme	O	_	_	_	_	_	_	_	NoSpaceAfter
-	I-pers	_	_	_	_	_	_	_	NoSpaceAfter
de	O	_	_	_	_	_	_	_	_
Joseph	B-pers	_	_	_	_	_	NIL	_	_
Digiez	I-pers	_	_	_	_	_	NIL	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
Maurice	B-pers	_	_	_	_	_	NIL	_	_
Bourgoin	I-pers	_	_	_	_	_	NIL	_	NoSpaceAfter
,	I-pers	_	_	_	_	_	NIL	_	_
enfant	I-pers	_	_	_	_	_	NIL	_	_
mineur	I-pers	_	_	_	_	_	_	_	EndOfLine
#
représenté	O	_	_	_	_	_	_	_	_
par	O	_	_	_	_	_	_	_	_
le	O	_	_	_	_	_	_	_	_
sieur	I-pers	_	_	_	_	_	_	_	_
Jaques	I-pers	_	_	_	_	_	_	_	_
Charles	I-pers	_	_	_	_	_	_	_	_
Gicot	I-pers	_	_	_	_	_	_	_	_
son	I-pers	_	_	_	_	_	_	_	_
curateur	I-pers	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	EndOfLine
#
ont	O	_	_	_	_	_	_	_	_
été	O	_	_	_	_	_	_	_	_
admis	O	_	_	_	_	_	_	_	_
par	O	_	_	_	_	_	_	_	_
arrêt	O	_	_	_	_	_	_	_	_
du	O	_	_	_	_	_	_	_	_
Conseil	O	_	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	_	NoSpaceAfter
'	O	_	_	_	_	_	_	_	NoSpaceAfter
Etat	O	_	_	_	_	_	_	_	_
du	B-time	_	_	_	_	_	_	_	_
5	I-time	_	_	_	_	_	_	_	_
décembre	I-time	_	_	_	_	_	_	_	EndOfLine
#
1797	I-time	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
à	O	_	_	_	_	_	_	_	_
solliciter	O	_	_	_	_	_	_	_	_
une	O	_	_	_	_	_	_	_	_
renonciation	O	_	_	_	_	_	_	_	_
générale	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
absolue	O	_	_	_	_	_	_	_	EndOfLine
aux	O	_	_	_	_	_	_	_	_
biens	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
aux	O	_	_	_	_	_	_	_	_
dettes	O	_	_	_	_	_	_	_	_
présentes	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
futures	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	EndOfLine
#
Jean	B-pers	_	_	_	_	_	NIL	_	NoSpaceAfter
-	I-pers	_	_	_	_	_	NIL	_	NoSpaceAfter
Baptiste	I-pers	_	_	_	_	_	NIL	_	_
Bourgoin	I-pers	_	_	_	_	_	NIL	_	_
leur	O	_	_	_	_	_	_	_	_
pe	O	_	_	_	_	_	_	_	NoSpaceAfter
'	O	_	_	_	_	_	_	_	NoSpaceAfter
re	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
qu	O	_	_	_	_	_	_	_	NoSpaceAfter
'	O	_	_	_	_	_	_	_	NoSpaceAfter
en	O	_	_	_	_	_	_	_	_
conséquence	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
les	O	_	_	_	_	_	_	_	EndOfLine
#
susdits	O	_	_	_	_	_	_	_	_
enfans	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
duement	O	_	_	_	_	_	_	_	_
assistés	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
autorisés	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
se	O	_	_	_	_	_	_	_	EndOfLine
présenteront	O	_	_	_	_	_	_	_	_
par	O	_	_	_	_	_	_	_	NoSpaceAfter
-	O	_	_	_	_	_	_	_	NoSpaceAfter
devant	O	_	_	_	_	_	_	_	_
