TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id = NZZ-1798-01-20-a-p0002
# segment_iiif_link = _
Neuigkeiten	O	O	O	O	O	O	_	-	-
.	O	O	O	O	O	O	_	-	-
(	O	O	O	O	O	O	_	-	-
Mißhandlung	O	O	O	O	O	O	_	-	-
der	O	O	O	O	O	O	_	-	-
# segment_iiif_link = _
Franken	O	O	O	O	O	O	_	-	-
in	O	O	O	O	O	O	_	-	-
Rom	B-loc	B-loc	O	O	O	O	Q220|Q1647176	-	-
.	O	O	O	O	O	O	_	-	-
]	O	O	O	O	O	O	_	-	-
Buonaparte	B-pers	B-pers	O	O	O	O	Q151869|Q1528420	-	-
'	I-pers	I-pers	O	O	O	O	Q151869|Q1528420	-	-
s	I-pers	I-pers	O	O	O	O	Q151869|Q1528420	-	-
Bruder	O	O	O	O	O	O	_	-	-
hat	O	O	O	O	O	O	_	-	-
# segment_iiif_link = _
die	O	O	O	O	O	O	_	-	-
neulich	O	O	O	O	O	O	_	-	-
schon	O	O	O	O	O	O	_	-	-
erzählten	O	O	O	O	O	O	_	-	-
Vorfälle	O	O	O	O	O	O	_	-	-
in	O	O	O	O	O	O	_	-	-
Rom	B-loc	B-loc	O	O	O	O	Q220|Q1647176	-	-
ans	O	O	O	O	O	O	_	-	-
# segment_iiif_link = _
Directorium	O	O	O	O	O	O	_	-	-
berichtet	O	O	O	O	O	O	_	-	-
,	O	O	O	O	O	O	_	-	-
und	O	O	O	O	O	O	_	-	-
die	O	O	O	O	O	O	_	-	-
verdächtige	O	O	O	O	O	O	_	-	-
Weise	O	O	O	O	O	O	_	-	-
,	O	O	O	O	O	O	_	-	-
# segment_iiif_link = _
mit	O	O	O	O	O	O	_	-	-
der	O	O	O	O	O	O	_	-	-
die	O	O	O	O	O	O	_	-	-
römische	O	O	O	O	O	O	_	-	-
Regierung	O	O	O	O	O	O	_	-	-
sich	O	O	O	O	O	O	_	-	-
dabey	O	O	O	O	O	O	_	-	-
betrug	O	O	O	O	O	O	_	-	-
in	O	O	O	O	O	O	_	-	-
# segment_iiif_link = _
ein	O	O	O	O	O	O	_	-	-
sehr	O	O	O	O	O	O	_	-	-
klares	O	O	O	O	O	O	_	-	-
Licht	O	O	O	O	O	O	_	-	-
gesezt	O	O	O	O	O	O	_	-	-
.	O	O	O	O	O	O	_	-	-
Er	O	O	O	O	O	O	_	-	-
hatte	O	O	O	O	O	O	_	-	-
schon	O	O	O	O	O	O	_	-	-
den	O	O	O	O	O	O	_	-	-
25	O	O	O	O	O	O	_	-	-
.	O	O	O	O	O	O	_	-	-
# segment_iiif_link = _
Dec	O	O	O	O	O	O	_	-	-
.	O	O	O	O	O	O	_	-	-
einige	O	O	O	O	O	O	_	-	-
der	O	O	O	O	O	O	_	-	-
Aufrührer	O	O	O	O	O	O	_	-	-
,	O	O	O	O	O	O	_	-	-
die	O	O	O	O	O	O	_	-	-
im	O	O	O	O	O	O	_	-	-
Vertrauen	O	O	O	O	O	O	_	-	-
Frank	B-loc	B-loc	O	O	O	O	_	-	-
# segment_iiif_link = _
reichs	I-loc	I-loc	O	O	O	O	_	-	-
Schutz	O	O	O	O	O	O	_	-	-
und	O	O	O	O	O	O	_	-	-
Beystand	O	O	O	O	O	O	_	-	-
erflehten	O	O	O	O	O	O	_	-	-
sehr	O	O	O	O	O	O	_	-	-
dringend	O	O	O	O	O	O	_	-	-
# segment_iiif_link = _
„	O	O	O	O	O	O	_	-	-
und	O	O	O	O	O	O	_	-	-
derb	O	O	O	O	O	O	_	-	-
abgewiesen	O	O	O	O	O	O	_	-	-
,	O	O	O	O	O	O	_	-	-
