TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = en
# newspaper = sn83030483
# date = 1790-01-02
# document_id = sn83030483-1790-01-02-a-i0004
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/527,279,409,29/full/0/default.jpg
FROM	O	O	O	O	O	O	O	O	O
A	O	O	O	O	O	O	O	O	O
VIRGINIA	O	O	O	O	O	O	O	O	O
PAPER	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/296,342,708,38/full/0/default.jpg
To	O	O	O	O	O	O	O	O	O
his	O	O	O	O	O	O	O	O	O
EXCELLENCY	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O
GOVERNOR	O	O	O	O	O	O	O	O	O
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/665,385,138,33/full/0/default.jpg
GINIA	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/630,429,495,40/full/0/default.jpg
NEW	O	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O
YORK	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O
SEPT	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O
28	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O
1780	B-time	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/374,466,108,34/full/0/default.jpg
SIR	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/300,505,865,74/full/0/default.jpg
W	O	O	O	O	O	O	O	O	O
E	O	O	O	O	O	O	O	O	O
have	O	O	O	O	O	O	O	O	O
